name,price,link
Laphroaig Trio Coronation Edition,"£3,900.00",https://www.whiskyshop.com/laphroaig-trio-coronation-edition
Milton 1949 Private Collection,"£50,000.00",https://www.whiskyshop.com/milton-1949-private-collection
The Legacy Collection 43 Year Old The Lost Estate,"£1,200.00",https://www.whiskyshop.com/the-legacy-collection-43-year-old-the-lost-estate
The Charles Gordon Collection 56 Year Old The Long Marriage,"£4,000.00",https://www.whiskyshop.com/the-charles-gordon-collection-56-year-old-the-long-marriage
The Charles Gordon Collection 1965 Blended at Birth,"£4,500.00",https://www.whiskyshop.com/the-charles-gordon-collection-blended-at-birth
The Glenlivet 80 Year Old Generations Gordon & MacPhail,"£90,000.00",https://www.whiskyshop.com/glenlivet-80-year-old-generations
Fettercairn 50 Year Old,"£22,000.00",https://www.whiskyshop.com/fettercairn-50-year-old
Glenfiddich Gran Reserva 21 Year Old, £173.00,https://www.whiskyshop.com/glenfiddich-21-year-old-gran-reserva
That Boutique-y Whisky Company Glenburgie 27 Year Old Batch 13,£250.00,https://www.whiskyshop.com/that-boutique-y-whisky-company-glenburgie-27-year-old-batch-13
Digital Drams: Benromach,£25.00,https://www.whiskyshop.com/digital-drams-benromach
Benromach Cask Strength 2013  Batch 1,£70.00,https://www.whiskyshop.com/benromach-cask-strength-2013-batch-1
Digital Drams: anCnoc Highland Single Malt,£25.00,https://www.whiskyshop.com/digital-drams-ancnoc-highland-single-malt
Tamdhu Cigar Malt 2,£196.00,https://www.whiskyshop.com/tamdhu-cigar-malt-2
Connoisseurs Choice Upper Tormore 1991 31 Year Old #15381,£725.00,https://www.whiskyshop.com/connoisseurs-choice-upper-tormore-1991-31-year-old-15381
Connoisseurs Choice Glen Grant 2005 16 Year Old #14600206,£136.00,https://www.whiskyshop.com/connoisseurs-choice-glen-grant-2005-16-year-old-14600206
Private Collection Glenlossie 1982 40 Year Old #3398,"£1,650.00",https://www.whiskyshop.com/private-collection-glenlossie-1982-40-year-old-3398
Private Collection Linkwood 1982 40 Year Old #91018811,"£1,750.00",https://www.whiskyshop.com/private-collection-linkwood-1982-40-year-old-91018811
Benromach Virgin Oak Air Dried Oak 2012,£60.00,https://www.whiskyshop.com/benromach-virgin-oak-air-dried-oak-2012
Benromach Virgin Oak Kiln Dried Oak 2012,£60.00,https://www.whiskyshop.com/benromach-virgin-oak-kiln-dried-oak-2012
Darkness Highlands 19 Year Old Oloroso Cask Finish,£104.00,https://www.whiskyshop.com/darkness-highlands-19-year-old-oloroso-cask-finish
Darkness Islay 13 Year Old Oloroso Cask Finish,£84.00,https://www.whiskyshop.com/darkness-islay-13-year-old-oloroso-cask-finish
Darkness Glenrothes 13 Year Old Oloroso Cask Finish,£89.00,https://www.whiskyshop.com/darkness-glenrothes-13-year-old-oloroso-cask-finish
Darkness Craigellachie 12 Year Old Oloroso Cask Finish,£109.00,https://www.whiskyshop.com/darkness-craigellachie-12-year-old-oloroso-cask-finish
Darkness Caol Ila 14 Year Old Oloroso Cask Finish,£89.00,https://www.whiskyshop.com/darkness-caol-ila-14-year-old-oloroso-cask-finish
Darkness Campbeltown 8 Year Old Oloroso Cask Finish,£64.00,https://www.whiskyshop.com/darkness-campbeltown-8-year-old-oloroso-cask-finish
Darkness Benrinnes 11 Year Old Oloroso Cask Finish,£64.00,https://www.whiskyshop.com/darkness-benrinnes-11-year-old-oloroso-cask-finish
Darkness Balmenach 9 Year Old Oloroso Cask Finish,£64.00,https://www.whiskyshop.com/darkness-balmenach-9-year-old-oloroso-cask-finish
Glengoyne Cask Strength Batch 10,£74.00,https://www.whiskyshop.com/glengoyne-cask-strength-batch-10
Glengoyne 15 Year Old,£80.00,https://www.whiskyshop.com/glengoyne-15-year-old
Bowmore 21 Year Old 2000s,"£1,380.00",https://www.whiskyshop.com/bowmore-21-year-old-2000s
Dalmore 30 Year Old 2023 Release,"£4,750.00",https://www.whiskyshop.com/dalmore-30-year-old-2023-release
